分析項目,數值/說明,評估,建議
玩家起始資源,80血/3能量/9張起始卡,合理,起始牌組偏攻擊(5斬4防)
每回合輸出,3能量≈15傷害(基準),合理,符合設計文件
每回合防禦,3能量≈15-18護甲(基準),合理,但起始卡防禦偏弱
普通怪總血量,狂信徒22/顎蟲24/蝨子12,略低,可能過快擊殺缺乏挑戰
普通怪威脅度,狂信徒7→10→13 / 顎蟲6 / 蝨子6-8,中等,狂信徒若無控制很痛
精英怪耐久,肥碩地精50(+回血) / 拉格瓦林55,合理,測試持續戰鬥能力
精英怪傷害,地精12 / 拉格瓦林18-20,偏高,拉格瓦林甦醒後壓力大
Boss血量,史萊姆160血,合理,約11回合戰鬥
Boss傷害,15→25(Buff後),合理,階段轉換明顯
玩家生存力,80血面對普通怪可承受約10-12次攻擊,偏低,需要良好防禦卡
卡牌數值平衡,1費5-6傷/2費10傷基準,合理,符合設計
合成成本,50-125金幣,待測試,需實測金幣獲取速度
合成價值,大部分合成卡性價比中等偏高,略高,可能過強鼓勵拆卡
起始牌組問題,5斬4防缺少抽牌/功能卡,偏弱,考慮加1張功能卡或降低起始敵人難度
